,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,under-five deaths ,Total expenditure,GDP,Income composition of resources
503,87.0,74.0,2,8.3,8433.936814,2,1.3,46596.33599,0.897
504,85.0,74.0,2,8.3,7946.743581,2,9.83,44544.5268,0.894
505,85.0,75.0,2,8.2,771.1817686,2,9.75,4386.69948,0.891
506,81.0,76.0,2,8.0,6333.177967,2,9.57,36189.58838,0.886
507,80.0,77.0,2,7.8,5513.329924,2,9.56,31979.87195,0.881
508,79.7,78.0,2,7.7,4687.845565,2,9.54,28172.14883,0.877
509,79.5,79.0,2,7.7,3895.856308,2,9.37,24167.8431,0.872
510,79.4,8.0,2,7.6,3665.089703,2,9.1,23691.59472,0.867
511,79.1,82.0,2,7.6,3787.49456,2,8.67,24124.16917,0.864
513,58.0,437.0,15,0.01,53.43964323,22,4.2,377.132274,0.345
514,49.9,451.0,16,0.01,52.37766601,23,3.82,337.4849614,0.37
515,53.0,439.0,16,0.01,7.344808214,23,3.62,486.41114,0.366
516,49.8,443.0,16,1.66,58.52947463,24,3.73,494.336779,0.361
517,49.2,446.0,17,1.67,43.48359197,24,3.9,446.4434494,0.352
518,48.6,453.0,17,1.56,40.45156933,25,3.58,449.961839,0.345
519,47.6,477.0,17,1.52,67.34137528,25,4.3,456.8614334,0.338
520,46.8,495.0,17,1.5,60.04884821,26,4.4,397.148467,0.33
521,46.3,56.0,17,1.54,46.90117916,26,3.99,347.673678,0.323
522,45.9,511.0,17,1.5,40.92207976,26,4.29,327.1149461,0.319
523,45.7,512.0,17,1.5,41.50111735,26,4.1,313.21598,0.315
524,45.7,51.0,17,1.49,46.11619441,26,4.31,286.25819,0.316
525,45.6,58.0,17,1.47,31.5941587,25,4.16,253.768343,0.315
526,45.6,54.0,17,1.52,33.65315697,25,3.95,243.1586486,0.314
527,46.0,49.0,16,1.51,30.78382657,25,4.24,243.5429317,0.312
529,52.6,362.0,46,0.01,11.3020668,78,3.62,125.998515,0.39
530,52.2,366.0,46,0.64,76.52382535,78,3.42,986.13177,0.387
531,51.8,367.0,46,0.62,57.8242709,79,3.0,973.472574,0.381
532,51.6,365.0,46,0.56,67.76269089,79,3.17,989.2363633,0.37
533,51.2,364.0,46,0.5,43.57328908,80,2.95,896.5697341,0.36
534,57.0,37.0,46,0.47,4.982900401,80,3.31,84.455939,0.343
535,49.6,394.0,46,0.45,49.09198224,80,2.92,929.772391,0.338
536,49.4,394.0,46,0.42,5.962923532,80,3.35,81.683884,0.306
537,48.5,414.0,45,0.41,62.67225971,80,3.32,712.1847694,0.303
538,48.6,46.0,45,0.42,8.936064632,79,3.91,66.2421396,0.306
539,48.5,45.0,44,0.34,72.38451279,78,5.72,454.6765879,0.301
540,48.4,43.0,44,0.42,3.979243535,77,5.49,292.5914364,0.284
541,48.1,43.0,43,0.36,3.039691193,76,8.33,22.854821,0.303
542,48.0,4.0,42,0.3,26.87439074,75,6.9,197.3156442,0.3
543,47.6,44.0,41,0.25,21.52701616,74,6.28,166.231785,0.0
545,83.0,83.0,2,7.16,2352.999591,2,7.79,14817.37778,0.841
546,81.0,84.0,2,7.2,2442.222054,2,7.53,15941.39722,0.831
547,79.9,84.0,2,6.76,2260.777642,2,7.24,15431.9293,0.826
548,79.8,86.0,2,7.26,211.614293,2,7.0,1475.69242,0.82
549,79.1,89.0,2,7.93,177.4925143,2,6.97,1286.17764,0.815
550,79.3,91.0,2,7.67,181.525923,2,7.39,1243.32824,0.816
551,79.6,88.0,2,7.31,241.5533381,2,6.87,1781.3668,0.804
552,78.9,9.0,2,7.39,209.4875875,2,6.35,1526.87746,0.797
553,78.9,91.0,2,7.33,1275.689625,2,6.18,9484.681227,0.796
554,78.4,93.0,2,7.57,954.9644887,2,6.69,7615.3468,0.79
555,78.0,97.0,2,6.32,78.78564878,2,6.93,621.828325,0.781
556,77.9,1.0,2,6.37,584.0993429,2,7.34,4787.699532,0.775
557,77.8,11.0,2,6.06,675.7808443,3,6.48,4463.545867,0.768
558,77.3,16.0,2,6.1,687.5116825,3,6.51,4595.666327,0.761
559,77.3,13.0,2,6.24,74.14842946,3,6.4,511.368479,0.755
561,75.8,86.0,171,5.78,109.8743903,198,5.55,7683.5238,0.723
562,75.6,88.0,185,5.79,9.955532032,216,5.39,777.77594,0.713
563,75.4,89.0,201,5.74,94.4344566,233,5.26,6337.882993,0.703
564,75.2,91.0,215,5.63,91.26749779,251,5.3,5633.79616,0.7
565,75.0,92.0,231,5.75,5.660754839,268,4.89,456.512487,0.691
566,74.9,93.0,248,4.88,50.28348923,288,5.8,3838.434292,0.682
567,74.5,97.0,266,4.27,39.22509728,308,4.59,3471.247547,0.672
568,74.4,96.0,285,3.88,312.6624819,332,4.32,2695.366223,0.659
569,74.2,98.0,307,3.28,29.74342979,360,4.52,299.229676,0.646
570,73.9,99.0,332,2.92,171.6596026,392,4.66,1753.4178,0.634
571,73.5,11.0,360,3.04,1.58668462,427,4.72,158.668462,0.622
572,73.1,13.0,391,2.96,122.9365349,467,4.82,1288.642924,0.61
573,72.7,16.0,422,2.91,106.3590358,511,4.79,1148.5857,0.6
574,72.2,11.0,457,2.84,14.23064496,558,4.56,153.1824,0.592
575,71.7,115.0,490,3.06,17.46057369,608,4.6,959.372181,0.583
577,74.6,144.0,11,4.38,1435.487755,12,7.2,7913.383432,0.72
578,74.4,145.0,11,4.41,15.16255482,13,6.84,83.5863,0.712
579,74.3,143.0,11,4.44,1487.896562,13,6.93,7884.984429,0.707
580,74.2,144.0,12,4.37,184.3073618,14,6.64,7227.73968,0.7
581,73.6,15.0,12,4.28,113.2436346,15,6.76,625.65544,0.695
582,73.6,15.0,13,4.34,941.6464045,15,7.1,5148.422113,0.691
583,73.5,146.0,14,4.45,978.07041,16,6.62,5433.7245,0.683
584,73.5,144.0,14,4.66,780.5946749,17,6.25,4674.21961,0.675
585,73.1,147.0,15,4.53,62.43710774,17,6.11,379.78776,0.669
586,73.1,144.0,15,4.38,531.9808176,18,5.82,3386.256,0.658
587,72.8,148.0,16,4.26,42.17956418,19,5.37,274.249442,0.658
588,72.4,15.0,16,4.25,417.8038898,19,5.92,2246.257472,0.659
589,71.8,163.0,17,4.45,393.8773633,20,5.67,2355.725857,0.656
590,71.5,165.0,17,4.43,404.4205858,21,5.96,2395.856551,0.653
591,71.4,167.0,18,4.66,477.1341814,21,5.91,2472.197831,0.65
593,63.2,23.0,1,0.01,73.86584922,2,6.75,852.954379,0.497
594,62.9,233.0,1,0.01,61.57443584,2,6.51,834.341949,0.49
595,62.5,237.0,2,0.01,78.39008571,2,7.11,788.632653,0.484
596,62.2,241.0,2,0.12,59.6596497,2,6.1,829.7586885,0.479
597,61.8,246.0,2,0.15,47.30421873,2,5.82,769.1742883,0.476
598,61.3,251.0,2,0.17,56.98952474,2,3.82,778.5454199,0.465
599,61.0,255.0,2,0.12,93.36788979,2,5.13,795.97519,0.461
600,66.0,259.0,2,0.16,9.087638194,2,4.93,72.759313,0.459
601,63.0,262.0,2,0.25,77.0283958,2,4.57,648.38717,0.451
602,60.0,266.0,2,0.24,69.9675435,2,4.32,621.93372,0.434
603,59.8,269.0,2,0.27,7.212110766,2,3.96,616.4197236,0.0
604,59.6,271.0,2,0.26,45.09010835,2,3.65,544.566526,0.0
605,59.5,271.0,2,0.08,29.41897495,2,3.39,433.2691451,0.0
606,59.5,272.0,1,0.08,19.71741043,2,2.86,395.9319363,0.0
607,59.5,272.0,1,0.09,35.02948624,2,3.56,375.8528566,0.0
626,79.5,96.0,1,3.45,384.5129138,1,9.31,1647.44179,0.768
627,79.4,96.0,1,3.42,386.1379123,1,9.47,1569.66631,0.762
628,79.2,97.0,1,3.34,2568.237059,1,9.56,9985.36959,0.758
629,79.0,98.0,1,3.41,2429.854745,1,9.73,9186.59639,0.752
630,78.1,16.0,1,3.58,2377.010299,1,9.66,8199.414621,0.749
631,79.2,96.0,1,4.07,24.88720369,1,9.69,689.396224,0.747
632,78.9,99.0,1,4.22,1859.095621,1,9.1,6911.136136,0.74
633,78.9,93.0,1,4.2,150.8891479,1,8.37,612.623418,0.734
634,78.0,16.0,1,4.15,1185.412346,1,7.82,5245.187372,0.727
635,78.6,97.0,1,4.1,1002.833273,1,7.74,4697.11135,0.723
636,77.7,12.0,1,4.09,1043.10795,1,7.8,4425.57467,0.719
637,78.0,1.0,1,4.04,1070.268999,1,8.45,4167.71417,0.715
638,78.3,99.0,1,4.17,112.9493745,1,8.23,462.14965,0.712
639,77.5,1.0,1,4.29,868.3713593,1,7.25,3981.52847,0.708
640,77.6,98.0,1,4.34,94.17819458,1,7.12,388.363689,0.702
658,79.0,93.0,1,4.37,13.6691019,1,11.6,75.5199,0.772
659,78.7,96.0,1,4.18,95.67571176,1,9.48,676.15344,0.773
660,78.7,96.0,1,4.16,742.1961992,1,8.59,6425.941119,0.778
661,78.8,92.0,1,4.14,102.0645784,1,1.6,675.92436,0.78
662,78.0,98.0,1,4.13,787.2808163,1,1.19,5676.14143,0.784
663,78.1,11.0,1,4.01,818.8771016,1,11.78,5484.7763,0.782
664,77.9,12.0,1,4.26,708.6157966,1,1.79,5376.447622,0.771
665,78.1,14.0,1,4.13,750.7147641,1,1.42,5184.494227,0.754
666,78.0,14.0,1,4.17,523.4724284,1,7.67,4669.6916,0.732
667,77.2,19.0,1,4.48,518.9359221,1,9.39,3779.577,0.719
668,77.3,17.0,1,4.38,4.484254579,1,6.14,339.716256,0.705
669,77.4,18.0,1,4.39,60.34145124,1,6.31,3192.669378,0.694
670,77.7,19.0,1,4.1,334.7672107,1,6.5,2994.339988,0.692
671,76.7,115.0,1,4.04,322.5863149,1,6.27,2832.188893,0.686
672,76.9,115.0,1,3.92,49.34007756,1,6.7,2741.11542,0.679
754,63.0,252.0,1,0.38,24.73299655,1,1.57,174.91511,0.467
755,62.7,256.0,1,0.53,229.4410095,2,9.14,1622.637974,0.464
756,62.2,263.0,1,0.52,217.2125786,2,8.95,1536.15685,0.46
757,61.8,268.0,1,0.39,20.35974738,2,8.71,143.986898,0.451
758,61.3,273.0,1,0.44,187.4960097,2,8.84,1325.99724,0.441
759,69.0,279.0,1,0.49,177.2671607,2,8.37,1253.657431,0.436
760,62.0,289.0,1,0.49,171.7686449,2,8.5,1214.77118,0.427
761,59.8,296.0,1,0.45,20.86878709,2,7.72,147.586896,0.416
762,59.1,39.0,2,1.02,121.4812077,2,7.5,965.6693779,0.405
763,58.6,318.0,2,1.23,12.70325933,2,7.21,94.7297489,0.396
764,58.1,326.0,2,1.18,106.0354659,2,6.76,864.184726,0.388
765,58.0,325.0,2,1.02,94.13302875,2,6.22,819.974118,0.378
766,57.9,322.0,2,1.03,13.46662004,2,5.45,792.15412,0.372
767,57.7,323.0,2,0.95,92.4978948,2,5.37,781.2322196,0.363
768,57.4,325.0,2,1.34,91.95075901,2,5.75,768.176767,0.361
769,,,0,0.01,11.41955507,0,5.58,722.75665,0.721
771,73.6,154.0,6,5.92,1088.244952,7,4.38,6268.692122,0.712
772,73.4,157.0,6,5.93,97.52211538,7,4.12,627.55544,0.709
773,72.1,174.0,6,5.93,857.1307037,7,4.26,5968.876767,0.706
774,73.1,16.0,6,5.91,843.7876995,7,4.22,5759.643,0.703
775,72.7,166.0,6,6.02,664.5585242,8,4.6,5451.6696,0.697
776,73.6,157.0,6,6.05,587.8828228,8,4.41,4952.67753,0.695
777,73.3,161.0,6,6.12,49.09241952,8,4.2,511.37937,0.692
778,72.9,164.0,6,6.05,74.8217488,8,4.34,4647.31359,0.685
779,72.3,178.0,7,6.2,352.9551269,8,4.34,3836.468771,0.677
780,69.7,28.0,7,5.71,289.7418649,8,4.26,3681.5993,0.668
781,69.3,214.0,7,5.16,182.6162515,8,4.28,2421.9662,0.666
782,73.0,22.0,7,6.32,293.0196601,8,5.53,2372.628827,0.665
783,71.4,189.0,7,6.43,4.67359227,8,5.79,38.46578,0.66
784,71.2,188.0,7,6.13,340.0239945,9,5.59,2862.154836,0.656
785,72.0,176.0,7,6.58,44.79247812,9,5.9,282.4242,0.651
787,76.0,121.0,6,3.82,79.11626341,7,9.16,6432.216537,0.737
788,76.0,121.0,6,3.77,59.12850204,8,7.29,674.9829,0.725
789,75.5,127.0,7,3.92,41.88087712,8,6.48,572.14313,0.717
790,75.3,131.0,7,3.99,344.7412164,8,5.92,5223.351763,0.71
791,75.0,134.0,7,3.95,367.9285652,8,5.9,4657.32361,0.703
792,75.1,137.0,7,3.87,282.1440066,8,5.58,4255.56571,0.702
793,74.6,139.0,7,3.76,197.9303077,9,5.66,4274.95265,0.698
794,74.7,14.0,7,3.63,19.60467787,9,5.94,359.71886,0.696
795,74.4,144.0,8,3.52,19.13983284,9,5.86,335.786541,0.693
796,74.2,151.0,8,3.54,18.09317114,9,5.87,321.942547,0.688
797,74.4,148.0,8,3.65,16.37920405,9,6.22,278.557892,0.682
798,74.4,151.0,8,3.69,18.26183281,10,6.46,244.46898,0.679
799,73.6,157.0,8,3.88,187.3843511,10,4.62,2183.966796,0.675
800,73.4,158.0,9,4.13,14.5887403,10,3.86,193.741571,0.67
801,72.8,163.0,9,3.99,84.17527008,11,3.38,1451.29776,0.668
819,73.3,181.0,2,2.52,665.7260253,2,6.77,3988.771871,0.676
820,73.0,184.0,2,2.42,653.6925016,2,6.95,3895.664491,0.675
821,73.0,181.0,2,2.48,591.7757569,2,6.7,3827.786267,0.67
822,72.0,197.0,2,2.37,549.2783081,2,6.81,3736.58713,0.666
823,72.0,191.0,2,2.36,469.3904193,2,6.91,3474.392445,0.662
824,71.4,23.0,2,2.55,416.4338399,2,6.83,3366.482133,0.662
825,71.7,194.0,2,2.68,53.95949877,3,6.21,357.347674,0.659
826,71.2,23.0,2,2.83,52.30172215,3,6.32,334.83817,0.657
827,75.0,211.0,3,2.77,57.74562629,3,6.68,362.951768,0.651
828,71.0,213.0,3,2.77,440.6027042,3,7.19,2835.281237,0.644
829,70.0,215.0,3,2.9,398.6058322,3,7.3,2632.79942,0.636
830,69.9,29.0,3,3.1,400.1342971,4,7.61,2519.737387,0.628
831,73.0,24.0,3,2.97,29.68529375,4,7.9,248.4125,0.621
832,68.9,219.0,4,2.88,332.1056586,4,8.2,2338.772244,0.615
833,69.0,218.0,4,2.79,353.6690328,5,8.17,2238.4116,0.607
835,57.9,32.0,3,0.01,13.40477417,4,3.8,192.59733,0.582
836,57.4,327.0,3,10.72,156.3907685,4,3.73,2246.9938,0.586
837,56.7,337.0,3,11.89,1500.412635,4,4.0,21557.6528,0.583
838,56.2,344.0,3,10.99,1493.051277,4,3.29,21451.88617,0.58
839,56.1,339.0,3,9.93,1192.696619,4,3.84,17136.44568,0.589
840,55.7,34.0,3,7.97,115.0692415,4,5.32,1653.2937,0.59
841,55.4,338.0,3,8.34,1705.678619,4,2.31,22742.38159,0.592
842,55.0,339.0,3,6.86,1024.519543,4,2.25,15761.83913,0.587
843,54.8,337.0,3,7.28,827.5979335,4,2.13,12732.2759,0.569
844,54.4,337.0,3,7.19,12.0661671,4,1.63,185.63334,0.563
845,54.1,336.0,3,6.28,44.54768305,4,2.4,685.34897,0.553
846,53.8,334.0,3,7.13,309.7834587,4,2.23,3577.176197,0.554
847,53.5,334.0,3,6.01,234.7874207,4,2.5,2711.17114,0.542
848,53.1,334.0,3,5.07,197.7839552,4,1.78,2283.87939,0.527
849,52.7,336.0,3,4.46,14.95451321,4,2.73,172.68491,0.0
854,62.9,286.0,6,0.62,20.97991915,8,3.6,582.775532,0.405
855,62.1,298.0,6,0.61,17.35739784,9,3.24,482.14994,0.404
856,61.4,311.0,6,0.63,1.575160196,9,3.3,43.7544499,0.402
857,67.0,322.0,6,0.49,11.76572311,9,3.69,326.825642,0.406
858,62.0,329.0,6,1.23,11.42385961,9,3.29,317.3294336,0.405
859,59.7,336.0,7,0.97,10.60269773,9,3.3,297.828588,0.405
860,59.4,34.0,7,1.07,5.064688968,9,2.97,276.75896,0.0
861,59.1,342.0,7,0.64,10.26097341,10,3.14,287.4222243,0.0
862,58.8,343.0,7,0.56,6.913998013,10,3.5,232.7945459,0.0
863,58.5,343.0,7,0.83,0.703132179,10,4.2,21.7687981,0.0
864,58.1,345.0,7,0.61,5.593619538,10,3.95,215.139213,0.0
865,45.3,593.0,7,0.83,0.735940361,10,4.43,28.1969487,0.0
867,77.3,122.0,0,0.01,2700.07305,0,6.38,19941.45532,0.86
868,76.9,127.0,0,0.01,261.2914808,0,6.48,1929.7746,0.856
869,76.3,135.0,0,0.01,2263.103797,0,6.36,17421.8922,0.85
870,76.1,138.0,0,0.01,2146.945741,0,5.83,17454.84342,0.838
871,75.6,137.0,0,14.97,1802.017593,0,6.25,14638.6482,0.833
872,74.9,156.0,0,15.04,1717.088711,0,6.93,14726.31828,0.836
873,74.2,167.0,0,16.99,225.0723618,0,6.6,1894.5485,0.835
874,73.0,189.0,0,17.87,1904.12469,0,5.16,16586.452,0.829
875,73.0,188.0,0,16.58,244.3510801,0,5.1,12595.4165,0.822
876,72.8,189.0,0,15.52,153.5045263,0,5.2,1338.31322,0.812
877,72.3,195.0,0,15.07,101.1201161,0,5.13,885.465115,0.805
878,71.9,199.0,0,11.64,132.7233922,0,4.92,7174.237415,0.798
879,71.2,211.0,0,11.48,7.806042825,0,4.84,538.347781,0.791
880,78.0,225.0,0,0.01,88.62945822,0,4.85,4498.95727,0.781
881,78.0,218.0,0,0.01,5.34809451,0,5.28,47.32827,0.764
883,64.2,234.0,140,0.01,89.95805845,202,4.88,571.1622759,0.435
884,63.7,237.0,145,1.86,8.313282039,211,5.19,52.1535887,0.427
885,63.3,241.0,150,1.84,86.82551124,221,5.77,468.567249,0.422
886,62.6,249.0,156,1.32,67.77565369,231,6.55,354.8463544,0.411
887,61.8,261.0,162,1.34,67.73374413,243,6.86,341.39992,0.401
888,68.0,274.0,169,1.17,53.77354001,256,4.41,379.7566385,0.393
889,59.8,289.0,177,1.13,38.55783268,270,4.28,325.3825543,0.378
890,58.5,39.0,186,1.06,30.46451811,286,4.69,243.326822,0.362
891,57.2,328.0,196,1.22,22.18952246,304,4.47,193.794956,0.346
892,56.0,343.0,206,0.99,18.03753133,323,4.2,161.6266248,0.325
893,55.0,354.0,217,0.86,1.506962482,342,4.23,135.7623858,0.31
894,54.0,363.0,228,0.79,10.97201912,360,4.64,118.8734466,0.306
895,53.2,369.0,237,0.8,10.82452594,377,4.73,111.3634356,0.298
896,52.5,372.0,246,0.85,1.186227577,392,4.26,12.1789279,0.283
897,51.2,391.0,253,0.88,11.59481766,404,4.36,123.876257,0.0
899,69.7,19.0,0,0.01,50.539484,0,4.49,546.3728,0.727
900,69.6,192.0,0,0.01,460.6487805,0,4.26,4763.68956,0.719
901,69.4,195.0,0,0.01,431.4854874,0,4.16,4546.73854,0.714
902,69.2,197.0,0,0.01,401.7931045,0,4.6,4353.121392,0.709
903,69.1,2.0,0,2.25,62.08343533,0,4.23,3651.966784,0.706
904,68.9,23.0,0,2.31,60.65068446,0,4.26,3369.48247,0.704
905,68.7,26.0,0,1.95,81.04656111,0,3.68,4177.657789,0.7
906,68.6,29.0,0,2.09,5.889526221,0,3.74,478.82327,0.698
907,68.5,211.0,0,2.06,52.1241634,0,3.84,3749.939813,0.695
908,68.3,214.0,0,2.02,64.39203443,0,3.61,3658.63832,0.699
909,68.1,218.0,0,1.63,43.99452464,0,3.61,3332.918533,0.691
910,68.0,22.0,0,1.76,253.8196705,0,3.35,2835.973972,0.689
911,67.9,22.0,0,1.85,206.071686,0,3.48,2259.55796,0.687
912,67.8,221.0,0,1.93,20.7119129,0,3.28,238.891729,0.683
913,67.7,221.0,0,2.05,31.25834616,0,3.87,276.1338,0.681
915,89.0,78.0,0,8.8,6164.455402,0,9.68,49914.61864,0.89
916,87.0,79.0,0,8.97,6115.496624,0,9.55,49638.7713,0.887
917,84.0,82.0,0,9.24,5889.012536,0,9.3,47415.55987,0.884
918,83.0,86.0,0,9.81,71.01620838,0,9.1,579.72415,0.878
919,79.9,89.0,0,9.72,591.6691405,0,9.5,4622.41516,0.874
920,79.7,91.0,0,9.96,579.7384368,0,9.2,4717.15571,0.878
921,79.6,94.0,0,10.26,678.88112,0,8.35,5341.31487,0.876
922,79.3,96.0,0,10.45,6147.1323,0,8.9,48288.5491,0.873
923,79.2,96.0,0,10.15,524.7775227,0,8.38,4112.67651,0.869
924,78.9,11.0,0,9.95,4816.589613,0,8.43,38969.17163,0.864
925,78.7,12.0,0,9.89,4508.806185,0,8.21,37636.11173,0.869
926,78.4,98.0,0,9.31,3869.026302,0,8.15,32816.1688,0.866
927,78.1,98.0,0,9.25,3099.357319,0,7.81,26834.2625,0.863
928,78.0,1.0,0,8.94,2775.33544,0,7.43,24913.24452,0.856
929,77.5,15.0,0,8.59,397.7533689,0,7.22,24253.2542,0.847
931,82.2,79.0,3,11.5,6739.677606,3,11.54,42955.24287,0.89
932,82.0,81.0,3,11.1,6646.953935,3,11.56,42554.1225,0.887
933,81.5,83.0,3,11.5,751.3793553,3,11.44,4838.2444,0.885
934,81.7,83.0,3,11.8,683.9190568,3,11.33,4381.288,0.882
935,81.3,86.0,3,11.7,72.8001211,3,11.2,473.34279,0.879
936,81.1,88.0,3,11.8,6415.35735,3,11.28,41631.13141,0.879
937,89.0,88.0,3,11.9,7002.785925,3,1.57,45413.6571,0.877
938,89.0,89.0,3,12.2,64.73714894,3,1.45,416.58397,0.873
939,86.0,92.0,3,12.4,5689.991931,4,1.53,36544.5853,0.87
940,81.0,93.0,3,12.2,5451.701225,4,1.6,34879.72633,0.86
941,82.0,94.0,3,13.18,5291.234786,4,1.53,33874.74255,0.857
942,79.3,99.0,3,13.49,4572.441963,4,1.43,29691.18158,0.852
943,79.2,11.0,3,13.78,3779.655273,4,1.22,24275.2426,0.851
944,79.0,13.0,3,13.89,3451.185079,4,9.89,22527.31775,0.849
945,78.8,13.0,3,13.63,3410.284431,4,9.77,22465.64184,0.844
947,65.5,237.0,2,0.01,715.2816939,3,3.44,9692.163874,0.687
948,64.6,255.0,2,8.86,154.8758879,3,3.98,9679.742995,0.678
949,63.5,276.0,2,8.3,805.3925284,3,3.13,9774.18117,0.669
950,62.8,289.0,2,8.9,133.5223672,3,3.12,1716.2258,0.664
951,62.3,294.0,2,8.85,145.318282,3,3.41,8754.113376,0.66
952,61.7,31.0,2,8.64,52.31086276,3,3.43,763.66223,0.652
953,61.6,298.0,2,8.75,11.05422474,3,2.54,194.2746,0.651
954,61.6,291.0,2,9.02,545.4389573,3,2.86,8352.81711,0.645
955,61.4,288.0,2,8.01,40.53719812,3,2.88,727.777345,0.646
956,65.0,37.0,2,7.72,353.2438029,3,2.76,6741.293948,0.64
957,59.7,322.0,2,8.13,443.4750634,3,3.26,5685.577736,0.64
958,59.7,32.0,2,6.47,352.232365,3,3.48,4892.11618,0.638
959,59.7,315.0,2,8.34,22.69039905,3,3.22,412.55271,0.636
960,59.8,37.0,2,9.29,183.6980778,3,3.23,3976.14887,0.633
961,61.0,296.0,2,8.87,218.1727473,3,2.89,4116.46693,0.637
979,74.5,125.0,1,6.13,221.482875,1,7.42,4429.6575,0.759
980,74.5,128.0,1,5.91,180.3787034,1,7.25,4274.376857,0.755
981,74.2,13.0,1,7.71,158.2576025,1,8.57,4142.869175,0.749
982,73.9,127.0,1,8.14,198.94876,1,9.38,3725.63221,0.742
983,73.8,132.0,1,7.24,194.1732658,1,1.5,2964.47734,0.738
984,73.2,133.0,1,6.66,18.5314303,1,1.19,276.588512,0.734
985,73.9,128.0,1,7.17,151.762567,1,8.99,3174.9491,0.735
986,74.4,12.0,1,8.65,106.164686,1,8.17,2492.12878,0.722
987,73.9,126.0,1,6.18,110.1138286,1,8.39,1872.68416,0.714
988,73.9,128.0,1,4.7,9.444875415,1,8.6,153.57521,0.703
989,72.3,134.0,1,3.74,7.132564768,1,8.53,127.367228,0.694
990,72.7,132.0,1,3.36,70.54185252,2,8.49,928.18227,0.684
991,71.7,142.0,2,2.72,60.55818291,2,8.72,779.3845935,0.677
992,73.0,121.0,2,2.76,57.10318825,2,7.82,733.974142,0.673
993,71.8,129.0,2,3.28,47.81704183,2,6.94,691.997711,0.0
1011,62.1,253.0,37,0.01,97.67794571,54,3.56,1432.227943,0.576
1012,61.9,254.0,38,0.01,28.66897829,55,4.63,1814.492297,0.57
1013,61.6,257.0,39,0.01,151.899429,56,4.79,1629.8222,0.563
1014,61.2,263.0,40,1.64,225.2219474,58,4.81,1574.978653,0.554
1015,69.0,267.0,40,1.69,195.9824626,59,5.33,1312.67557,0.547
1016,66.0,271.0,41,1.76,30.72290501,60,5.17,186.76538,0.542
1017,63.0,275.0,41,1.78,161.0106435,61,4.85,1224.41554,0.53
1018,59.9,28.0,41,1.25,3.181373629,61,5.3,19.686718,0.519
1019,59.4,288.0,41,1.7,129.0263364,62,4.64,922.9351677,0.51
1020,58.9,296.0,41,1.5,78.71123825,62,4.51,498.172394,0.499
1021,58.3,34.0,41,1.46,53.23775977,62,3.96,423.1936389,0.491
1022,57.9,38.0,41,1.53,31.09435342,63,3.12,373.2815537,0.489
1023,57.6,31.0,42,1.6,3.336437969,63,3.7,39.484473,0.484
1024,57.4,39.0,42,1.49,25.55981288,64,3.56,273.6596668,0.485
1025,57.2,38.0,43,1.6,20.65432873,65,3.0,263.1124679,0.48
1027,88.0,73.0,0,7.53,2163.043414,0,8.8,21673.7817,0.862
1028,86.0,74.0,0,7.46,2183.106986,0,9.26,21874.8195,0.86
1029,84.0,76.0,0,8.2,2528.992935,0,9.24,22242.68193,0.858
1030,85.0,76.0,0,8.02,3192.887363,0,9.77,25916.29353,0.86
1031,83.0,76.0,0,9.0,3189.754439,0,9.18,26917.75898,0.859
1032,80.0,78.0,0,9.08,372.6854142,0,9.76,2971.973,0.857
1033,79.9,77.0,0,9.51,3682.88717,0,9.76,31997.2821,0.853
1034,79.4,8.0,0,9.67,3632.243121,0,9.41,28827.32636,0.855
1035,79.7,77.0,0,9.42,318.5806628,1,9.34,2481.15781,0.85
1036,79.3,81.0,0,9.95,2785.139364,1,9.36,22551.73574,0.839
1037,79.2,81.0,0,9.56,287.6124519,1,8.3,21955.149,0.83
1038,79.1,81.0,0,9.46,2124.921517,1,8.61,18477.57841,0.823
1039,79.0,81.0,1,8.09,160.8897265,1,8.72,1411.31339,0.811
1040,78.7,83.0,1,8.62,1403.022211,1,8.47,12538.17883,0.801
1041,78.2,84.0,1,8.48,122.1823517,1,7.6,1242.95373,0.794
1043,73.5,143.0,0,8.42,789.2764615,0,6.1,8569.776998,0.749
1044,73.3,144.0,0,8.25,780.4459281,0,6.15,7955.615985,0.746
1045,73.1,146.0,0,8.07,865.9999782,0,6.36,7583.1872,0.744
1046,72.9,15.0,0,7.84,11.56715633,0,6.35,741.48438,0.741
1047,72.6,154.0,0,7.91,145.8401998,0,6.41,7365.666659,0.0
1048,72.4,158.0,0,8.42,146.4384488,0,6.24,7395.88125,0.0
1049,72.1,162.0,0,8.92,754.9597129,0,5.76,7946.944346,0.0
1050,71.9,164.0,0,9.06,95.19375921,0,5.88,7322.596862,0.0
1051,71.7,167.0,0,9.06,662.2663687,0,5.99,6764.722867,0.0
1052,71.5,169.0,0,8.8,119.5548694,0,5.5,6754.512393,0.0
1053,73.0,187.0,0,8.43,100.965873,0,5.24,5836.17763,0.0
1054,71.1,173.0,0,9.75,77.9454329,0,5.89,5773.73577,0.0
1055,79.0,176.0,0,10.71,513.3465408,0,6.67,5292.232379,0.0
1056,77.0,178.0,0,9.61,81.11355954,0,7.67,519.958715,0.0
1057,74.0,182.0,0,9.4,676.5453878,0,6.62,5117.589923,0.0
1059,71.7,187.0,10,1.88,657.5282797,13,6.2,3687.763767,0.614
1060,71.4,189.0,11,1.93,582.1469583,13,6.3,3452.828934,0.611
